Time (seconds),x0,x1,x2,x3,x4,x5
0.0,1189,1185,0,1200,1202,0
0.01,1196,1185,0,1203,1202,0
0.023,1184,1185,0,1199,1202,0
0.035,1186,1185,0,1201,1202,0
0.048,1186,1185,0,1200,1202,0
0.059,1192,1185,0,1201,1202,0
0.07,1185,1185,0,1210,1202,0
0.08,1189,1185,0,1201,1202,0
0.092,1189,1185,0,1203,1202,0
0.104,1187,1185,0,1200,1202,0
0.117,1188,1185,0,1206,1202,0
0.129,1185,1185,0,1199,1202,0
0.142,1184,1185,0,1203,1202,0
0.154,1182,1185,0,1199,1202,0
0.165,1187,1185,0,1201,1202,0
0.177,1194,1185,0,1205,1202,0
0.188,1188,1185,0,1205,1202,0
0.2,1186,1185,0,1203,1202,0
0.214,1187,1185,0,1205,1202,0
0.226,1187,1185,0,1209,1202,0
0.239,1189,1185,0,1207,1202,0
0.251,1186,1185,0,1215,1202,0
0.263,1188,1185,0,1199,1202,0
0.274,1182,1185,0,1203,1202,0
0.283,1191,1185,0,1206,1202,0
0.293,1186,1185,0,1203,1202,0
0.305,1182,1185,0,1204,1202,0
0.316,1183,1185,0,1201,1202,0
0.328,1185,1185,0,1198,1202,0
0.338,1194,1185,0,1201,1202,0
0.346,1186,1185,0,1203,1202,0
0.355,1185,1185,0,1208,1202,0
0.364,1187,1185,0,1205,1202,0
0.373,1183,1185,0,1200,1202,0
0.383,1190,1185,0,1205,1202,0
0.392,1186,1185,0,1204,1202,0
0.4,1185,1185,0,1200,1202,0
0.408,1188,1185,0,1206,1202,0
0.415,1186,1185,0,1202,1202,0
0.423,1184,1185,0,1199,1202,0
0.431,1192,1185,0,1205,1202,0
0.439,1189,1185,0,1204,1202,0
0.446,1186,1185,0,1207,1202,0
0.455,1181,1185,0,1202,1202,0
0.463,1185,1185,0,1205,1202,0
0.47,1185,1185,0,1198,1202,0
0.478,1188,1185,0,1201,1202,0
0.486,1191,1185,0,1201,1202,0
0.494,1185,1185,0,1201,1202,0
0.503,1190,1185,0,1208,1202,0
0.511,1182,1185,0,1208,1202,0
0.519,1186,1185,0,1200,1202,0
0.528,1182,1185,0,1202,1202,0
0.536,1185,1185,0,1201,1202,0
0.545,1183,1185,0,1202,1202,0
0.555,1184,1185,0,1200,1202,0
